"F1","F2"
"X4436710","X534249"
"X244331","X3011887"
"X217972","X4304452"
"X220177","X897625"
"X102198","X156035"
"X151957","X214916"
"X1134668","X4462831"
"X2341996","X4737"
"X1107049","X776288"
"X4397025","X4450676"
"X3596028","X4339772"
"X165827","X3011887"
"X4399529","X759250"
"X210619","X514449"
"X4315620","X553485"
"X243136","X4315994"
"X1909053","X574969"
"X328081","X4398985"
"X3582695","X4737"
"X4430681","X877952"
"X161630","X4414827"
"X214916","X917888"
"X112959","X210791"
"X4398985","X806812"
"X1123510","X513584"
"X111978","X513584"
"X225604","X513584"
"X513584","X713738"
"X277521","X513584"
"X513584","X589327"
"X206803","X513584"
"X513584","X994858"
"X4296539","X513584"
"X419579","X513584"
"X4370817","X513584"
"X221891","X513584"
"X4326449","X513584"
"X1138936","X513584"
"X1119609","X513584"
"X4387966","X513584"
"X241615","X513584"
"X2880504","X513584"
"X220177","X223441"
"X211222","X4462831"
"X112959","X332410"
"X112959","X2477589"
"X112959","X4393377"
"X112959","X816965"
"X112959","X186887"
"X112959","X136399"
"X112959","X215669"
"X112959","X213944"
"X112959","X4321056"
"X112959","X628601"
"X112959","X208293"
"X112959","X4463042"
"X112959","X225546"
"X112959","X211527"
"X1125006","X112959"
"X112959","X218887"
"X112959","X214749"
"X112959","X207645"
"X1013954","X112959"
"X112959","X4324024"
"X112959","X4380227"
"X112959","X264791"
"X112959","X763380"
"X1106842","X112959"
"X104947","X112959"
"X112959","X160354"
"X112959","X130441"
"X1048870","X400524"
"X1597279","X4320407"
"X220177","X4256699"
"X256121","X4461509"
"X207283","X4398985"
"X212546","X2651333"
"X156651","X205999"
"X216023","X4331213"
"X67771","X803238"
"X205932","X809387"
"X205932","X3740253"
"X205932","X2629538"
"X151897","X205932"
"X1546874","X205932"
"X205932","X514000"
"X205932","X2685346"
"X1144840","X205932"
"X113772","X205932"
"X205932","X539496"
"X205932","X257685"
"X205932","X588123"
"X205932","X215776"
"X205932","X825086"
"X205932","X727319"
"X172128","X205932"
"X205932","X512708"
"X1114509","X205932"
"X4461637","X813938"
"X156035","X4392870"
"X156035","X249425"
"X156035","X241533"
"X156035","X757795"
"X156035","X4343458"
"X156035","X4452842"
"X156035","X320352"
"X156035","X239656"
"X156035","X4366201"
"X156035","X4472979"
"X1121611","X156035"
"X204970","X692488"
"X4371216","X4463044"
"X207866","X4421933"
"X1110791","X1584967"
"X1093620","X136286"
"X221372","X223701"
"X4321468","X4413728"
"X4330963","X4360319"
"X1145461","X241193"
"X1521997","X214916"
"X159548","X4360319"
"X223743","X553485"
"X553485","X813735"
"X114170","X553485"
"X1130984","X553485"
"X261296","X553485"
"X316756","X553485"
"X543181","X553485"
"X2972180","X553485"
"X3823564","X553485"
"X553485","X946344"
"X241289","X553485"
"X252274","X553485"
"X343700","X553485"
"X204372","X553485"
"X4392312","X553485"
"X2524288","X4374096"
"X155408","X554950"
"X241449","X845167"
"X212584","X258234"
"X257611","X567307"
"X567307","X716416"
"X4343928","X567307"
"X4418140","X567307"
"X1954099","X567307"
"X317157","X567307"
"X567307","X693348"
"X228047","X567307"
"X4405879","X567307"
"X567307","X951954"
"X4327452","X567307"
"X567307","X871009"
"X217873","X567307"
"X215656","X567307"
"X247781","X567307"
"X4474264","X567307"
"X509038","X567307"
"X14906","X567307"
"X246248","X567307"
"X593163","X830836"
"X4375014","X76374"
