"F1","F2"
"X4436710","X4462639"
"X4361041","X4436710"
"X312923","X4436710"
"X3755712","X4436710"
"X226108","X244331"
"X1110791","X244331"
"X3606781","X4304452"
"X4304452","X58103"
"X178300","X897625"
"X830836","X897625"
"X102198","X52546"
"X102198","X4448576"
"X102198","X240881"
"X151957","X684669"
"X151957","X4327302"
"X151957","X575467"
"X151957","X401193"
"X151957","X807622"
"X1134668","X210344"
"X112992","X1134668"
"X2341996","X4365064"
"X2341996","X4463042"
"X1521997","X4450676"
"X205592","X4450676"
"X278371","X4260136"
"X4260136","X4399343"
"X292508","X3596028"
"X3596028","X4320966"
"X3596028","X554602"
"X165827","X65684"
"X165827","X538093"
"X1006382","X165827"
"X165827","X818819"
"X165827","X748564"
"X325796","X4399529"
"X106749","X4399529"
"X678627","X680305"
"X4476744","X514449"
"X112992","X514449"
"X4315620","X4447214"
"X4315620","X93777"
"X227239","X238109"
"X4315994","X565413"
"X222755","X4315994"
"X1909053","X2305122"
"X328081","X729349"
"X112836","X3582695"
"X4365894","X877952"
"X200014","X4408276"
"X311452","X4408276"
"X2461324","X4408276"
"X4367776","X4408276"
"X1109121","X4414827"
"X4414827","X513782"
"X698483","X917888"
"X4359316","X806812"
"X4326943","X806812"
"X198655","X806812"
"X4425219","X513584"
"X207283","X223441"
"X223441","X4308759"
"X112959","X834863"
"X112959","X903377"
"X4320407","X578551"
"X206632","X4320407"
"X2979800","X4256699"
"X4256699","X4469865"
"X100640","X4256699"
"X1584967","X4456018"
"X1112580","X4456018"
"X241899","X256121"
"X256121","X4457195"
"X1102642","X256121"
"X226108","X256121"
"X256121","X296945"
"X1133067","X2651333"
"X2651333","X4330207"
"X156651","X207374"
"X216023","X3362404"
"X216023","X2913695"
"X216023","X897527"
"X1521997","X511572"
"X511572","X530809"
"X285415","X511572"
"X136114","X226743"
"X136114","X4331213"
"X136114","X4398985"
"X136114","X915958"
"X359891","X803238"
"X205932","X226726"
"X205932","X239139"
"X311452","X4461637"
"X4371216","X826332"
"X207866","X4427084"
"X207866","X702224"
"X207866","X255057"
"X154958","X207866"
"X1112580","X1584967"
"X1093620","X3849747"
"X221372","X565862"
"X195316","X4321468"
"X716519","X834178"
"X620041","X834178"
"X4296993","X834178"
"X4387187","X834178"
"X292322","X4330963"
"X4330963","X641892"
"X4330047","X4330963"
"X155455","X4330963"
"X559470","X838300"
"X3780773","X838300"
"X1671561","X838300"
"X340964","X838300"
"X4481484","X838300"
"X249385","X838300"
"X207848","X838300"
"X241193","X913706"
"X241193","X965853"
"X241193","X341901"
"X205245","X241193"
"X241193","X4421933"
"X1521997","X530809"
